ID,Species,Sex,Treatment,SVL,Mass,Test_conc
SCME000,SCME,M,TEST,40,1.48,
SCME002,SCME,M,TEST,36,1.13,21.25638452
SCME003,SCME,M,CONT,38,1.28,1.679327751
SCME005,SCME,M,TEST,33,0.8,2.024962463
SCME006,SCME,F,CONT,32,0.8,1.49153246
SCME007,SCME,F,CONT,32,0.78,1.118404021
SCME008,SCME,M,TEST,30,0.6,42.32885679
SCME009,SCME,F,CONT,25,0.34,5.030748092
SCME010,SCME,F,TEST,33,0.69,35.41629498
SCME011,SCME,F,TEST,32,0.76,28.61917151
SCME012,SCME,M,CONT,33,0.79,1.271676034
SCME014,SCME,F,TEST,34,0.91,11.34067311
SCME015,SCME,M,CONT,33,0.76,1.446570771
SCME016,SCME,F,CONT,33,0.79,1.043139322
SCME017,SCME,F,TEST,27,0.41,10.98930137
SCME018,SCME,F,CONT,31,0.64,1.354370571
SCME019,SCME,M,TEST,33,0.82,43.45437113
SCME020,SCME,F,TEST,25,0.33,39.03748105
SCME023,SCME,M,TEST,33,0.87,65.0540153
SCME024,SCME,M,CONT,35,0.95,1.282995482
SCME025,SCME,M,CONT,36,0.97,1.446757011
SCME027,SCME,F,TEST,35,1.03,3.833607174
SCME028,SCME,F,CONT,36,1.06,1.232097478
SCUN1901,SCUN,F,TEST,39,1.23,27.06744456
SCUN1903,SCUN,M,TEST,38,1.22,18.60045415
SCUN1904,SCUN,M,TEST,32,0.76,35.03
SCUN1905,SCUN,M,CONT,37,1.06,1.912977409
SCUN1906,SCUN,M,TEST,37,1.11,40.22426975
SCUN1907,SCUN,F,TEST,36,1.03,18.06217747
SCUN1909,SCUN,M,TEST,36,1.06,27.14410176
SCUN1910,SCUN,F,CONT,40,1.38,1.155875929
SCUN1911,SCUN,M,CONT,38,1.33,1.188249454
SCUN1914,SCUN,F,CONT,33,0.76,
SCUN1915,SCUN,F,TEST,35,0.96,34.17102066
SCUN1916,SCUN,M,CONT,37,1.32,1.298016763
SCUN1917,SCUN,M,TEST,38,1.23,16.50118705
SCUN1918,SCUN,F,CONT,36,0.98,1.188919163
SCUN1919,SCUN,F,CONT,35,0.91,2.379065907
SCUN1920,SCUN,M,CONT,33,0.79,2.491619035
SCUN1921,SCUN,F,TEST,35,1.07,
SCUN1922,SCUN,F,TEST,36,1.06,53.49640883
SCUN1923,SCUN,M,TEST,37,1.1,32.27699384
SCUN1924,SCUN,F,TEST,40,1.4,26.74122972
SCUN1926,SCUN,M,CONT,37,1.34,1.061386398
SCUN1927,SCUN,M,CONT,35,1.01,0.898687685
SCUN1928,SCUN,M,TEST,36,1.24,26.75806727
SCUN1929,SCUN,F,CONT,38,1.53,1.063968558
SCUN1930,SCUN,F,CONT,35,1.14,0.899994825
SCVI003,SCVI,M,CONT,36,0.85,1.84
SCVI004,SCVI,F,TEST,35,0.73,16.81
SCVI005,SCVI,M,CONT,35,0.82,0.95
SCVI006,SCVI,F,CONT,36,0.97,1.6
SCVI008,SCVI,M,TEST,35,0.89,20.19
SCVI009,SCVI,F,CONT,35,0.79,1
SCVI010,SCVI,F,TEST,36,0.85,16.62
SCVI011,SCVI,M,TEST,36,0.97,12.45
SCVI012,SCVI,F,CONT,37,0.99,0.97
SCVI013,SCVI,F,TEST,36,0.89,25.04
SCVI016,SCVI,M,TEST,33,0.81,27.46
SCVI018,SCVI,F,CONT,36,0.91,1.16
SCVI022,SCVI,F,TEST,37,0.97,33.6
SCVI025,SCVI,M,TEST,35,0.79,22.97
SCVI027,SCVI,F,TEST,35,0.8,41.41
SCVI029,SCVI,M,CONT,34,0.73,0.91
SCVI030,SCVI,F,CONT,37,1.01,0.95
SCVI032,SCVI,F,CONT,36,0.93,0.86
SCVI033,SCVI,M,TEST,34,0.86,36.55
SCVI038,SCVI,M,CONT,34,0.91,1.29
SCVI039,SCVI,F,TEST,37,1.02,26.46
SCVI040,SCVI,M,CONT,36,1.06,3.74
SCVI041,SCVI,M,CONT,32,0.6,1.49
SCVI042,SCVI,M,TEST,34,0.88,35.3
